Y:	Y1:	błąd1:	Y2:	błąd2:
5.6000	12.7134	7.1134	11.8101	6.2101
7.2000	13.3750	6.1750	13.0081	5.8081
12.1000	13.7739	1.6739	14.3473	2.2473
8.3000	13.0900	4.7900	11.3120	3.0120
8.5000	12.4312	3.9312	11.9457	3.4457
5.0000	12.2098	7.2098	11.1140	6.1140
11.9000	16.0731	4.1731	14.8692	2.9692
27.9000	22.7687	5.1313	16.8987	11.0013
17.2000	14.8434	2.3566	16.6913	0.5087
27.5000	20.1226	7.3774	18.5757	8.9243
15.0000	24.0131	9.0131	18.4839	3.4839
17.2000	16.7819	0.4181	16.9628	0.2372
17.9000	13.8955	4.0045	14.8756	3.0244
16.3000	14.3060	1.9940	14.6507	1.6493
7.0000	11.4312	4.4312	11.5389	4.5389
7.2000	14.0461	6.8461	14.3485	7.1485
7.5000	17.2939	9.7939	16.2895	8.7895
10.4000	12.8930	2.4930	12.2206	1.8206
8.8000	13.9704	5.1704	12.9707	4.1707
8.4000	18.5257	10.1257	17.5470	9.1470
16.7000	16.6800	0.0200	16.6869	0.0131
14.2000	17.6780	3.4780	16.7702	2.5702
20.8000	20.2713	0.5287	19.0609	1.7391
13.4000	18.8601	5.4601	19.9395	6.5395
11.7000	19.1936	7.4936	19.0973	7.3973
8.3000	14.3783	6.0783	13.6666	5.3666
10.2000	18.6856	8.4856	17.8448	7.6448
10.9000	17.3771	6.4771	16.2850	5.3850
11.0000	16.4265	5.4265	17.5409	6.5409
9.5000	15.7466	6.2466	16.2598	6.7598
14.5000	19.8347	5.3347	19.7651	5.2651
14.1000	21.5768	7.4768	20.0259	5.9259
16.1000	22.5852	6.4852	21.8730	5.7730
14.3000	19.7346	5.4346	19.1967	4.8967
11.7000	18.0441	6.3441	15.4566	3.7566
13.4000	16.7464	3.3464	15.3294	1.9294
9.6000	17.2100	7.6100	15.1440	5.5440
8.7000	14.3357	5.6357	14.3035	5.6035
8.4000	14.6511	6.2511	15.1359	6.7359
12.8000	15.2480	2.4480	15.4121	2.6121
10.5000	14.7590	4.2590	13.5951	3.0951
17.1000	16.5538	0.5462	14.9830	2.1170
18.4000	18.8170	0.4170	18.6469	0.2469
15.4000	17.3822	1.9822	16.3159	0.9159
10.8000	14.8768	4.0768	14.3387	3.5387
11.8000	15.5997	3.7997	14.7233	2.9233
14.9000	18.8806	3.9806	17.4150	2.5150
12.6000	17.8422	5.2422	15.6132	3.0132
14.1000	17.6415	3.5415	16.8989	2.7989
13.0000	15.9743	2.9743	16.6062	3.6062
13.4000	20.7232	7.3232	19.4956	6.0956
15.2000	19.8339	4.6339	18.4654	3.2654
16.1000	19.5133	3.4133	18.7235	2.6235
17.8000	24.0286	6.2286	22.4079	4.6079
14.9000	19.1024	4.2024	18.6878	3.7878
14.1000	20.2278	6.1278	19.7647	5.6647
12.7000	19.9461	7.2461	19.4025	6.7025
13.5000	18.4248	4.9248	17.8795	4.3795
14.9000	18.3891	3.4891	17.8599	2.9599
20.0000	19.6795	0.3205	18.2980	1.7020
16.4000	21.3264	4.9264	21.1220	4.7220
17.7000	19.8307	2.1307	20.2652	2.5652
19.5000	20.8517	1.3517	19.3729	0.1271
20.2000	21.1197	0.9197	20.0206	0.1794
21.4000	22.2636	0.8636	20.7182	0.6818
19.9000	21.1589	1.2589	20.7771	0.8771
19.0000	19.5607	0.5607	20.1608	1.1608
19.1000	17.7136	1.3864	19.6145	0.5145
19.1000	19.0491	0.0509	18.6327	0.4673
20.1000	18.7057	1.3943	18.7108	1.3892
19.9000	20.0727	0.1727	21.1290	1.2290
19.6000	21.6945	2.0945	21.7340	2.1340
23.2000	21.3487	1.8513	21.9419	1.2581
29.8000	29.1787	0.6213	27.7335	2.0665
13.8000	17.7922	3.9922	18.7063	4.9063
13.3000	18.4745	5.1745	18.7255	5.4255
16.7000	20.1724	3.4724	20.4633	3.7633
12.0000	15.8997	3.8997	16.1110	4.1110
14.6000	19.2327	4.6327	18.2051	3.6051
21.4000	21.2632	0.1368	20.5905	0.8095
23.0000	22.2509	0.7491	22.1381	0.8619
23.7000	27.5439	3.8439	26.6051	2.9051
25.0000	30.5359	5.5359	28.5121	3.5121
21.8000	20.8285	0.9715	21.1831	0.6169
20.6000	21.2459	0.6459	21.2150	0.6150
21.2000	22.1276	0.9276	22.4858	1.2858
19.1000	20.7453	1.6453	21.4620	2.3620
20.6000	22.5723	1.9723	22.5859	1.9859
15.2000	19.4887	4.2887	18.4956	3.2956
7.0000	17.4967	10.4967	17.8168	10.8168
8.1000	17.3375	9.2375	17.8857	9.7857
13.6000	19.7771	6.1771	18.5365	4.9365
20.1000	21.4139	1.3139	19.8226	0.2774
21.8000	20.6231	1.1769	20.1008	1.6992
24.5000	21.0423	3.4577	20.4796	4.0204
23.1000	20.5520	2.5480	19.8789	3.2211
19.7000	19.0543	0.6457	19.6110	0.0890
18.3000	21.1516	2.8516	20.2200	1.9200
21.2000	21.0515	0.1485	20.4796	0.7204
17.5000	20.2386	2.7386	20.0364	2.5364
